Source Stop,Destination Stop,Encodings
Lawrence Apartments,Lakeside Apartments,mrduFtltfMDS?WU@OASIKGaBkARe@a@WsAi@{AcA_@W_@w@w@b@kBzAW\qHpF{@kCy@iB{@qA@a@p@Sh@B`@GhBwA
Lakeside Apartments,Icahn Lab,cmeuFd~sfMTO@y@iBi@_@Ai@No@t@c@`@{@j@cAsFa@wByAuH[o@yA_Bc@w@}@qBsD~C_CdBqChB_DzBqBbB
Icahn Lab,Woodrow Wilson School,{yfuFprsfMuE`DkE|CaHxE
Woodrow Wilson School,Friend Center,yoguFdctfMoFxDyApAyAdA_BmHeBoH{AuHnFoB
Friend Center,Icahn Lab,m~guFnmsfM|CiApCcAj@S^~AfAtGd@hCl@bDZnB|DoC|BgBdH{E
Icahn Lab,Lakeside Apartments,azfuFrrsfM~C{B|GyE|GqFhAfCZd@`BfBRr@tAbHr@|Dp@jD^fAKP@TPLTGD_@n@Wh@Bj@Sx@m@`@Y
Lakeside Apartments,Lawrence Apartments,cmeuFd~sfMTSBu@gAYw@Ss@Rg@h@q@n@y@h@^bAGTHZVDJARTj@x@t@hBz@dCvHwFZIvAaAjAy@Td@t@l@fAl@j@ZbAb@g@lATPNNVPZRf@VVJP@HE@C
