Source Stop,Destination Stop,Encodings
Lawrence Apartments,Lakeside Apartments,mrduFtltfMDS?WU@OASIKGaBkARe@a@WsAi@{AcA_@W_@w@w@b@kBzAW\qHpF{@kCy@iB{@qA@a@p@Sh@B`@GhBwA
Lakeside Apartments,Woodrow Wilson School,_meuFb~sfMTUAo@iBk@[Ag@L_@b@i@h@e@\g@Ze@mC}@cF{A}H_@k@yA_BWc@eA_CkGhFoGfEiF|DgEzC{F`EaEnC
Woodrow Wilson School,Friend Center,yoguFdctfMoFxDyApAyAdA_BmHeBoH{AuHnFoB
Friend Center,Icahn Lab,q~guFrmsfM~B{@~EkB^`BhAzGlBrKnCiBrIaG
Icahn Lab,Lot 16 & 23,w}fuFlusfMfBqARx@fBiArAaAfBgA~@_@dAEbAW`@DTRZv@x@hBt@tBr@pBn@tBVt@Bb@C`@[hBBn@MV@TNPEn@BTr@jEv@QIg@WyA
Lot 16 & 23,Lakeside Apartments,w~euFvktfMWwAIc@KSDWn@E|@Qz@W~CkALLVGH_@\SXAb@?b@MxAiAJE
Lakeside Apartments,Lawrence Apartments,cmeuFd~sfMTSBu@gAYw@Ss@Rg@h@q@n@y@h@^bAGTHZVDJARTj@x@t@hBz@dCvHwFZIvAaAjAy@Td@t@l@fAl@j@ZbAb@g@lATPNNVPZRf@VVJP@HE@C
