Source Stop,Destination Stop,Encoding
Merwick,Stanworth Apartments,unhuFjcvfMoDjCs@bA
Stanworth Apartments,201 Nassau / Charlton,wuhuFvivfMwBlAv@bEZzBLb@dKqHrYcQa@wAiDaQcBiJ{AwI{BeK}A{G
201 Nassau / Charlton,Friend Center,ybhuFt{sfMcBsInFoB
Friend Center,Fisher Hall,s~guFrmsfMlAc@|EiBr@Yd@lBtB~L
Fisher Hall,Frist / Guyot (Southbound),unguFxysfMz@`FjGgE
Frist / Guyot (Southbound),Icahn Lab,idguFrzsfMpEcD
Icahn Lab,New Princeton Station,idguFrzsfMpEcD
New Princeton Station,Merwick,w}fuFlusfMjQcMdG{E`AxBX`@\b@dAfAP^Jh@`D|PRdA`@dAITF\`@AHNn@r@~@xBx@fCgJ~GaGzDw@cCOF{@z@oAjA
