Source Stop,Destination Stop,Encoding
PTS,Marketfair,_cauFxjvfMhEsCd@[tCmA\e@wEcGs@o@gBeAIEb@eAiA}AmA{AaDcEgB{B{AaAW|@
Marketfair,Helm,iqauFncufMITiA}@c@e@[i@m@mAg@gAmAiCmAgBqAqA}AuAw@w@i@u@_A}AaBmCk@{@w@u@uB_Bo@m@s@y@w@uA}@sBu@kAmAwA{AyAcAkAiB{By@sA{@iBoBwDqGeKa@i@_AzAyCnEcExFcAbBOdAHhAT`AGvAwAlCqCpHe@~@k@p@e@\{@P_BIkCA}@`@mChBmGzE
Helm,Princeton Station,kgeuFbgtfMmFzDsE~CkClBiGpEyCrB[s@V[l@a@A_@Wa@gA`A
Princeton Station,PTS Campus,{hfuFd|tfMx@pBaFbDWUUP?`@kDrC_An@n@nBL^
PTS Campus,Grad College,aufuFfpufMx@bB~DlFf@`@fAh@n@HhAFtAWn@U
Grad College,Lawrence,wafuFj|ufMgA^_AHwBM_B}@k@s@cCcDgAeBc@kAk@eBdBoAhCoBNNTGJi@xAaA`CaB`TgObLiId@GrCuB
Lawrence,PTS,a_euF`atfMlCmBPYv@UbENt@I~@i@r@eAxCyHxAoCXgAYyBGoA\sAbCiDtDgFlA_BLEfAcBZd@zA`ChAdBlAlBz@zAt@xA~@lBj@dA`@r@r@x@t@`ApAxAdAdAdAdA|@xA~@tBf@|@^l@z@~@bAt@dBtAfAtAfDtFv@dA~DtDrAbB~AbDxA`Df@n@~@x@hBtAZ^dDfEbBvBxAlBj@b@rAv@|@l@|@dAnDtEY\_DxAkC`ByAdA
