Source Stop,Dest Stop,Encoding
Jadwin Hall,Lewis Library (Northbound),o|fuFltsfMeEpC
Lewis Library (Northbound),Woodrow Wilson School,ecguFhysfMmHlFgBjA
Woodrow Wilson School,Friend Center,soguFxbtfMeDdCeE`D}@p@a@qBqA{F{A}GiAeG~D}Al@Q
Friend Center,Fisher Hall,k~guFnmsfMbFoBvBu@x@hEn@zDn@nD
Fisher Hall,Frist / Guyot (Southbound),snguFxysfMn@pDPt@dCeB~AkAlAw@
Frist / Guyot (Southbound),Icahn Lab,mcguFbzsfMxDkC
Icahn Lab,Lot 21,u}fuFjusfMlEwCtBaB|NsKJS_AqBkBmBsAaAcAw@o@q@]k@Yk@m@uBi@kDi@aDQ}@g@gBy@_Co@`@gEtCtB|G
Lot 21,Jadwin Hall,{{fuFzirfMgCcI|FaEbAbDh@|Bt@|E\zBv@bCnAhBjBvAdAt@rAtAdAtBJPkH~FkItF_ExC
