Source Stop,Destination Stop,Encoding
Princeton Station,PTS Campus,{hfuFd|tfMx@lBaFdDUUWTA`@iF~Db@tAXz@
PTS Campus,Grad College,_ufuFjpufM`@|@pCzDhAzArAx@r@RvAFjB[\O
Grad College,Friend Center,wafuFj|ufMgA^eAJiBOoAk@y@u@qDcFi@cAc@kAc@oAcA{CW_BUcAm@TeBfAsA`AaEnCcD~BqCdBa@NgCkNkBaKmAeHmAwF_CaK}AuHdE{Al@U
Friend Center,Fisher Hall,m~guFpmsfMpDsAhDqA^~AzA~I\nB
Fisher Hall,Frist,unguFxysfMz@`FjGgE
Frist,Icahn Lab,mdguFrzsfMtIaG
Icahn Lab,Princeton Station,gzfuFzrsfMhHmF|HuFzBkBlAlCl@v@fApAPb@vAnHdBhJ\fAE\DTb@An@x@dA|B|@jC}LxIkDbCy@cCQH}@z@mAhA
