Start Stop,Dest. Stop,Hash
Dod Hall,Clio Hall,mgguFxytfM_Bn@MFIJINA@GT
Clio Hall,Nassau / Tulane,{kguFf}tfMSx@MJg@Tm@RyA`@w@Vw@VMDMFw@gEs@_E
Nassau / Tulane,Frist / Guyot (Southbound),izguF~vtfMkAwGAMXShF_ExF_EjGgEd@_@
Frist / Guyot (Southbound),Icahn Lab,qcguFdzsfMtCsBjCkBNf@BDHERKFG
Icahn Lab,Lot 16 & 23,_yfuF~ssfMjA{@|AaAf@Yb@YPMb@O\MPCb@ATAREXINCP@PD^f@h@rAn@zAf@zA|@hCx@lCBf@APYrAC^?NFXOTALDLHJDBEJAXAXFb@l@jDNEf@K]yB
Lot 16 & 23,West Garage,w~euFxktfMU}AI]MSBI@UKSKAK?GFEJ?TJJDLCLA^p@zE?`@i@dAqDvAgBn@]CCYQo@ICM?UHUJ
West Garage,Bloomberg Arch (Northbound),omfuFrutfMa@NSBGWYwAQkAGi@?c@EoAKo@CI
Bloomberg Arch (Northbound),Goheen Walk,yqfuFritfMu@b@q@b@k@`@UPOJ
Goheen Walk,Dod Hall,qwfuFxmtfM}@r@gAr@e@Xg@VYTKJEJMb@Od@ONc@PiDhA
